tiempo	x	y
0.0000	0.0000	0.0000
0.1000	0.0100	0.0998
0.2000	0.0400	0.1987
0.3000	0.0900	0.2955
0.4000	0.1600	0.3894
0.5000	0.2500	0.4794
0.6000	0.3600	0.5646
0.7000	0.4900	0.6442
0.8000	0.6400	0.7174
0.9000	0.8100	0.7833
1.0000	1.0000	0.8415
1.1000	1.2100	0.8912
1.2000	1.4400	0.9320
1.3000	1.6900	0.9636
1.4000	1.9600	0.9854
1.5000	2.2500	0.9975
1.6000	2.5600	0.9996
1.7000	2.8900	0.9917
1.8000	3.2400	0.9738
1.9000	3.6100	0.9463
2.0000	4.0000	0.9093
2.1000	4.4100	0.8632
2.2000	4.8400	0.8085
2.3000	5.2900	0.7457
2.4000	5.7600	0.6755
2.5000	6.2500	0.5985
2.6000	6.7600	0.5155
2.7000	7.2900	0.4274
2.8000	7.8400	0.3350
2.9000	8.4100	0.2392
3.0000	9.0000	0.1411
3.1000	9.6100	0.0416
3.2000	10.2400	-0.0584
3.3000	10.8900	-0.1577
3.4000	11.5600	-0.2555
3.5000	12.2500	-0.3508
3.6000	12.9600	-0.4425
3.7000	13.6900	-0.5298
3.8000	14.4400	-0.6119
3.9000	15.2100	-0.6878
4.0000	16.0000	-0.7568
4.1000	16.8100	-0.8183
4.2000	17.6400	-0.8716
4.3000	18.4900	-0.9162
4.4000	19.3600	-0.9516
4.5000	20.2500	-0.9775
4.6000	21.1600	-0.9937
4.7000	22.0900	-0.9999
4.8000	23.0400	-0.9962
4.9000	24.0100	-0.9825
5.0000	25.0000	-0.9589
5.1000	26.0100	-0.9258
5.2000	27.0400	-0.8835
5.3000	28.0900	-0.8323
5.4000	29.1600	-0.7728
5.5000	30.2500	-0.7055
5.6000	31.3600	-0.6313
5.7000	32.4900	-0.5507
5.8000	33.6400	-0.4646
5.9000	34.8100	-0.3739
6.0000	36.0000	-0.2794
6.1000	37.2100	-0.1822
6.2000	38.4400	-0.0831
6.3000	39.6900	0.0168
6.4000	40.9600	0.1165
6.5000	42.2500	0.2151
6.6000	43.5600	0.3115
6.7000	44.8900	0.4048
6.8000	46.2400	0.4941
6.9000	47.6100	0.5784
7.0000	49.0000	0.6570
7.1000	50.4100	0.7290
7.2000	51.8400	0.7937
7.3000	53.2900	0.8504
7.4000	54.7600	0.8987
7.5000	56.2500	0.9380
7.6000	57.7600	0.9679
7.7000	59.2900	0.9882
7.8000	60.8400	0.9985
7.9000	62.4100	0.9989
8.0000	64.0000	0.9894
8.1000	65.6100	0.9699
8.2000	67.2400	0.9407
8.3000	68.8900	0.9022
8.4000	70.5600	0.8546
8.5000	72.2500	0.7985
8.6000	73.9600	0.7344
8.7000	75.6900	0.6630
8.8000	77.4400	0.5849
8.9000	79.2100	0.5010
9.0000	81.0000	0.4121
9.1000	82.8100	0.3191
9.2000	84.6400	0.2229
9.3000	86.4900	0.1245
9.4000	88.3600	0.0248
9.5000	90.2500	-0.0752
9.6000	92.1600	-0.1743
9.7000	94.0900	-0.2718
9.8000	96.0400	-0.3665
9.9000	98.0100	-0.4575
